Mutation number,fwn,arg,pyr,leu,phe,lys,oli,crn,Relative W
3,0,0,1,1,0,0,1,0,0.381
3,0,0,1,1,0,0,0,1,0.657
3,0,0,1,0,1,1,0,0,m
3,0,0,1,0,1,0,1,0,0.524
3,0,0,1,0,1,0,0,1,0.805
3,0,0,1,0,0,1,1,0,m
3,0,0,1,0,0,1,0,1,0.866
3,0,0,1,0,0,0,1,1,0.414
3,0,0,0,1,1,1,0,0,m
3,0,0,0,1,1,0,1,0,0.555
3,0,0,0,1,1,0,0,1,0.655
3,0,0,0,1,0,1,1,0,m
3,0,0,0,1,0,1,0,1,0.795
3,0,0,0,1,0,0,1,1,0.451
3,0,0,0,0,1,1,1,0,m
3,0,0,0,0,1,1,0,1,0.928
3,0,0,0,0,1,0,1,1,m
3,0,0,0,0,0,1,1,1,0.605
4,1,1,1,1,0,0,0,0,0.622
4,1,1,1,0,1,0,0,0,0.735
4,1,1,1,0,0,1,0,0,m
4,1,1,1,0,0,0,1,0,0.523
4,1,1,1,0,0,0,0,1,0.783
4,1,1,0,1,1,0,0,0,0.85
4,1,1,0,1,0,1,0,0,m
4,1,1,0,1,0,0,1,0,0.491
4,1,1,0,1,0,0,0,1,0.7
4,1,1,0,0,1,1,0,0,0.77
4,1,1,0,0,1,0,1,0,m
4,1,1,0,0,1,0,0,1,0.837
4,1,1,0,0,0,1,1,0,m
4,1,1,0,0,0,1,0,1,0.841
4,1,1,0,0,0,0,1,1,0.722
4,1,0,1,1,1,0,0,0,m
4,1,0,1,1,0,1,0,0,m
4,1,0,1,1,0,0,1,0,0.274
4,1,0,1,1,0,0,0,1,0.659
4,1,0,1,0,1,1,0,0,0.675
4,1,0,1,0,1,0,1,0,0.539
4,1,0,1,0,1,0,0,1,0.817
4,1,0,1,0,0,1,1,0,m
4,1,0,1,0,0,1,0,1,0.743
4,1,0,1,0,0,0,1,1,0.64
4,1,0,0,1,1,1,0,0,m
4,1,0,0,1,1,0,1,0,0.643
4,1,0,0,1,1,0,0,1,0.723
4,1,0,0,1,0,1,1,0,m
4,1,0,0,1,0,1,0,1,0.798
4,1,0,0,1,0,0,1,1,0.499
4,1,0,0,0,1,1,1,0,m
4,1,0,0,0,1,1,0,1,0.749
4,1,0,0,0,1,0,1,1,0.603
4,1,0,0,0,0,1,1,1,0.651
4,0,1,1,1,1,0,0,0,0.681
4,0,1,1,1,0,1,0,0,m
4,0,1,1,1,0,0,1,0,0.481
4,0,1,1,1,0,0,0,1,0.73
4,0,1,1,0,1,1,0,0,m
4,0,1,1,0,1,0,1,0,0.442
4,0,1,1,0,1,0,0,1,0.769
4,0,1,1,0,0,1,1,0,m
4,0,1,1,0,0,1,0,1,0.812
4,0,1,1,0,0,0,1,1,0.422
4,0,1,0,1,1,1,0,0,m
4,0,1,0,1,1,0,1,0,0.471
4,0,1,0,1,1,0,0,1,m
4,0,1,0,1,0,1,1,0,m
4,0,1,0,1,0,1,0,1,0.75
4,0,1,0,1,0,0,1,1,0.478
4,0,1,0,0,1,1,1,0,m
4,0,1,0,0,1,1,0,1,0.866
4,0,1,0,0,1,0,1,1,m
4,0,1,0,0,0,1,1,1,m
4,0,0,1,1,1,1,0,0,m
4,0,0,1,1,1,0,1,0,0.41
4,0,0,1,1,1,0,0,1,0.702
4,0,0,1,1,0,1,1,0,m
4,0,0,1,1,0,1,0,1,0.793
4,0,0,1,1,0,0,1,1,0.414
4,0,0,1,0,1,1,1,0,m
4,0,0,1,0,1,1,0,1,0.847
4,0,0,1,0,1,0,1,1,0.525
4,0,0,1,0,0,1,1,1,0.659
4,0,0,0,1,1,1,1,0,m
4,0,0,0,1,1,1,0,1,0.767
4,0,0,0,1,1,0,1,1,0.453
4,0,0,0,1,0,1,1,1,0.462
4,0,0,0,0,1,1,1,1,m
5,1,1,1,1,1,0,0,0,0.605
5,1,1,1,1,0,1,0,0,m
5,1,1,1,1,0,0,1,0,0.43
5,1,1,1,1,0,0,0,1,0.686
5,1,1,1,0,1,1,0,0,0.639
5,1,1,1,0,1,0,1,0,0.56
5,1,1,1,0,1,0,0,1,0.707
5,1,1,1,0,0,1,1,0,m
5,1,1,1,0,0,1,0,1,0.794
5,1,1,1,0,0,0,1,1,0.637
5,1,1,0,1,1,1,0,0,0.727
5,1,1,0,1,1,0,1,0,0.604
5,1,1,0,1,1,0,0,1,0.722
5,1,1,0,1,0,1,1,0,m
5,1,1,0,1,0,1,0,1,0.611
5,1,1,0,1,0,0,1,1,0.617
5,1,1,0,0,1,1,1,0,m
5,1,1,0,0,1,1,0,1,0.824
5,1,1,0,0,1,0,1,1,0.638
5,1,1,0,0,0,1,1,1,m
5,1,0,1,1,1,1,0,0,m
5,1,0,1,1,1,0,1,0,0.337
5,1,0,1,1,1,0,0,1,0.647
5,1,0,1,1,0,1,1,0,m
5,1,0,1,1,0,1,0,1,0.701
5,1,0,1,1,0,0,1,1,0.409
5,1,0,1,0,1,1,1,0,m
5,1,0,1,0,1,1,0,1,0.928
5,1,0,1,0,1,0,1,1,0.446
5,1,0,1,0,0,1,1,1,0.619
5,1,0,0,1,1,1,1,0,m
5,1,0,0,1,1,1,0,1,0.72
5,1,0,0,1,1,0,1,1,0.537
5,1,0,0,1,0,1,1,1,m
5,1,0,0,0,1,1,1,1,0.615
5,0,1,1,1,1,1,0,0,m
5,0,1,1,1,1,0,1,0,0.387
5,0,1,1,1,1,0,0,1,0.669
5,0,1,1,1,0,1,1,0,m
5,0,1,1,1,0,1,0,1,0.779
5,0,1,1,1,0,0,1,1,0.416
5,0,1,1,0,1,1,1,0,m
5,0,1,1,0,1,1,0,1,0.827
5,0,1,1,0,1,0,1,1,0.562
5,0,1,1,0,0,1,1,1,0.618
5,0,1,0,1,1,1,1,0,m
5,0,1,0,1,1,1,0,1,0.74
5,0,1,0,1,1,0,1,1,0.469
5,0,1,0,1,0,1,1,1,0.538
5,0,1,0,0,1,1,1,1,0.614
5,0,0,1,1,1,1,1,0,m
5,0,0,1,1,1,1,0,1,0.619
5,0,0,1,1,1,0,1,1,0.414
5,0,0,1,1,0,1,1,1,0.517
5,0,0,1,0,1,1,1,1,0.645
5,0,0,0,1,1,1,1,1,0.454
6,1,1,1,1,1,1,0,0,0.7
6,1,1,1,1,1,0,1,0,0.344
6,1,1,1,1,1,0,0,1,0.691
6,1,1,1,1,0,1,1,0,m
6,1,1,1,1,0,1,0,1,0.662
6,1,1,1,1,0,0,1,1,0.443
6,1,1,1,0,1,1,1,0,m
6,1,1,1,0,1,1,0,1,0.73
6,1,1,1,0,1,0,1,1,0.612
6,1,1,1,0,0,1,1,1,0.629
6,1,1,0,1,1,1,1,0,0.318
6,1,1,0,1,1,1,0,1,0.841
6,1,1,0,1,1,0,1,1,m
6,1,1,0,1,0,1,1,1,m
6,1,1,0,0,1,1,1,1,0.609
6,1,0,1,1,1,1,1,0,m
6,1,0,1,1,1,1,0,1,0.67
6,1,0,1,1,1,0,1,1,0.545
6,1,0,1,1,0,1,1,1,m
6,1,0,1,0,1,1,1,1,0.479
6,1,0,0,1,1,1,1,1,0.475
6,0,1,1,1,1,1,1,0,m
6,0,1,1,1,1,1,0,1,0.79
6,0,1,1,1,1,0,1,1,0.47
6,0,1,1,1,0,1,1,1,m
6,0,1,1,0,1,1,1,1,m
6,0,1,0,1,1,1,1,1,0.514
6,0,0,1,1,1,1,1,1,m
7,0,1,1,1,1,1,1,1,m
7,1,0,1,1,1,1,1,1,m
7,1,1,0,1,1,1,1,1,0.456
7,1,1,1,0,1,1,1,1,0.643
7,1,1,1,1,0,1,1,1,0.446
7,1,1,1,1,1,0,1,1,0.448
7,1,1,1,1,1,1,0,1,m
7,1,1,1,1,1,1,1,0,m
8,1,1,1,1,1,1,1,1,m
